Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
3 Dev,2019.0,122.0,Comedy,6.9,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009.0,170.0,"Comedy, Drama",8.4,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,2009.0,137.0,"Drama, Romance",5.2,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Shyaane,2020.0,124.0,Comedy,5.841621416845562,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
3 Storeys,2018.0,100.0,Drama,6.9,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,2015.0,99.0,"Adventure, Drama",4.3,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,2004.0,109.0,Horror,5.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,2016.0,108.0,Thriller,4.8,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,2015.0,109.0,"Action, Drama, History",5.8,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,2009.0,108.0,Thriller,4.6,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,2006.0,140.0,"Comedy, Mystery, Thriller",5.7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981.0,122.0,"Drama, Romance",7.5,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,1974.0,142.0,"Action, Crime, Drama",6.7,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,2020.0,128.0,"Crime, Thriller",5.7,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019.0,93.0,Drama,5.6,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985.0,102.0,Horror,5.6,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013.0,125.0,"Horror, Sci-Fi, Thriller",3.6,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019.0,145.0,Horror,6.3,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
3rd November,2016.0,109.0,Horror,5.841621416845562,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
4 Sum,2019.0,96.0,"Crime, Drama, Thriller",5.841621416845562,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
404: Error Not Found,2011.0,121.0,"Drama, Mystery, Thriller",7.3,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016.0,75.0,Drama,4.8,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,2009.0,130.5,"Drama, Sport",3.9,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,2012.0,113.0,"Drama, Family, Musical",7.8,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
4pm on the Court,2011.0,115.0,Sport,5.841621416845562,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,1974.0,134.0,"Action, Comedy",6.5,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5 Rifles,2001.0,133.0,Action,5.841621416845562,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
5 Rupees,2018.0,142.0,Other,5.841621416845562,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Unknown
